date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
13/11/2021,RB Bragantino,Fortaleza EC,3,0,home,0.475,0.257,0.268
13/11/2021,Atletico Goianiense,Santos,0,0,draw,0.475,0.292,0.233
14/11/2021,Fluminense,Palmeiras,2,1,home,0.35600000000000004,0.273,0.371
14/11/2021,Sao Paulo,Flamengo,0,4,away,0.29600000000000004,0.245,0.45899999999999996
14/11/2021,Ceara,Sport Recife,2,1,home,0.5589999999999999,0.305,0.136
14/11/2021,Chapecoense-sc,Juventude,0,2,away,0.38299999999999995,0.27,0.348
16/11/2021,Gremio,RB Bragantino,3,0,home,0.32799999999999996,0.266,0.406
16/11/2021,Atletico Paranaense,Atletico-MG,0,1,away,0.23,0.254,0.516
17/11/2021,Flamengo,Corinthians,1,0,home,0.652,0.204,0.14400000000000002
17/11/2021,Palmeiras,Sao Paulo,0,2,away,0.42700000000000005,0.27399999999999997,0.299
17/11/2021,Santos,Chapecoense-sc,2,0,home,0.521,0.26899999999999996,0.21100000000000002
17/11/2021,America Mineiro,Atletico Goianiense,0,0,draw,0.516,0.287,0.19699999999999998
