knob,level,season,matches,diff,ci_low,ci_high
season_regression,0.2,2025,374,-9.702786340680707e-05,-0.0011279295050033067,0.0009417864440111533
season_regression,0.33,2016,375,-0.00020294880790161182,-0.0017628152986457017,0.0013280575154656158
season_regression,0.33,2017,378,0.0015977422423030547,0.0006378896617552594,0.00254997813728158
season_regression,0.33,2018,377,0.0007524969133923621,-0.00018572256228778863,0.0016589833085149319
season_regression,0.33,2019,376,0.0007851903182271156,-0.0006842338505557776,0.0022283619787402927
season_regression,0.33,2020,377,0.0010977352763602078,-0.0006283002791484184,0.0027696614097561553
season_regression,0.33,2021,377,-0.00029246950737758397,-0.0017000331728777823,0.0011303171063681498
season_regression,0.33,2022,377,-0.0003360095517287681,-0.0018880797575469561,0.001175945784693866
season_regression,0.33,2023,373,0.00144328063473108,-0.0003401589698020968,0.003257847725930773
season_regression,0.33,2024,376,0.0006380762024019261,-0.0006280632754160639,0.001895116739429556
season_regression,0.33,2025,374,-3.083188815044426e-06,-0.0016344924114939949,0.0016435273162525457
continental_weight,0.5,2016,375,0.0,0.0,0.0
continental_weight,0.5,2017,378,0.0,0.0,0.0
continental_weight,0.5,2018,377,0.0,0.0,0.0
continental_weight,0.5,2019,376,-9.629307886962097e-05,-0.0007342911963617442,0.000551111565246413
continental_weight,0.5,2020,377,-0.0001677319657638242,-0.0007644200953580916,0.0004413382099329662
continental_weight,0.5,2021,377,2.1163812034545092e-05,-0.0007104066973546349,0.0007500118777801077
continental_weight,0.5,2022,377,-0.0004996967614366053,-0.0014931885067669308,0.0004885118083620358
continental_weight,0.5,2023,373,0.0001952051320961685,-0.0004880089245525753,0.0008901374765425863
continental_weight,0.5,2024,376,-9.030026880545748e-05,-0.0007140705945767446,0.0005478906603475954
continental_weight,0.5,2025,374,0.00033874586994944055,-0.00027828705267356045,0.0009447718005073558
continental_weight,1.5,2016,375,0.0,0.0,0.0
continental_weight,1.5,2017,378,0.0,0.0,0.0
continental_weight,1.5,2018,377,0.0,0.0,0.0
continental_weight,1.5,2019,376,0.0001544595665037718,-0.00044247315202210983,0.0007440232315123032
continental_weight,1.5,2020,377,0.00017406354088001847,-0.0003828705175874948,0.0007241990013622015
continental_weight,1.5,2021,377,3.990235748723546e-05,-0.0006202121257045285,0.0006991468312861469
continental_weight,1.5,2022,377,0.0007677011115376668,-4.1141830849326186e-05,0.0015836653325382755
continental_weight,1.5,2023,373,-0.00025956645237173456,-0.0008810805011683675,0.0003658675418933469
continental_weight,1.5,2024,376,0.00022205347719161315,-0.0003638279011285688,0.000784461956224533
continental_weight,1.5,2025,374,-0.00015770712811440183,-0.0006861594778637279,0.00037223302074913323
copa_weight,0.5,2016,375,-0.0003924797067324754,-0.0007755934537837696,-3.963351354414513e-05
copa_weight,0.5,2017,378,9.541715505668852e-05,-0.00043408001818320434,0.0006245101636895143
copa_weight,0.5,2018,377,-2.0143266161601662e-06,-0.0003036145998006271,0.00030179154243242443
copa_weight,0.5,2019,376,-3.096077320239559e-05,-0.0004242238397788378,0.0003690231570016814
copa_weight,0.5,2020,377,-0.0003785634452758426,-0.0007604398159042527,1.4990450237634378e-05
copa_weight,0.5,2021,377,-2.5079898821752312e-05,-0.0005192245778657534,0.00044596287107209916
copa_weight,0.5,2022,377,0.00019049929933365637,-0.0004442610157146756,0.0008232743002743009
