type,date,team,n_simulations
brasileirao_title,2025-05-18,Bahia,5
brasileirao_title,2025-05-18,Sao Paulo,5
brasileirao_title,2025-05-18,Ceara,4
brasileirao_title,2025-05-18,Vasco DA Gama,1
brasileirao_title,2025-05-18,Vitoria,2
brasileirao_title,2025-05-18,Gremio,1
brasileirao_title,2025-05-18,Mirassol,1
brasileirao_relegation,2025-05-18,Bahia,70
brasileirao_relegation,2025-05-18,Santos,640
brasileirao_relegation,2025-05-18,Mirassol,263
brasileirao_relegation,2025-05-18,Sport Recife,793
brasileirao_relegation,2025-05-18,Gremio,354
brasileirao_relegation,2025-05-18,Juventude,603
brasileirao_relegation,2025-05-18,Atletico-MG,100
brasileirao_relegation,2025-05-18,Ceara,112
brasileirao_relegation,2025-05-18,Corinthians,34
brasileirao_relegation,2025-05-18,Vitoria,221
brasileirao_relegation,2025-05-18,Cruzeiro,7
brasileirao_relegation,2025-05-18,Sao Paulo,89
brasileirao_relegation,2025-05-18,RB Bragantino,24
brasileirao_relegation,2025-05-18,Vasco DA Gama,112
brasileirao_relegation,2025-05-18,Internacional,96
brasileirao_relegation,2025-05-18,Fortaleza EC,32
brasileirao_relegation,2025-05-18,Fluminense,36
brasileirao_relegation,2025-05-18,Botafogo,14
brasileirao_title,2025-05-24,Palmeiras,414
brasileirao_title,2025-05-24,Fortaleza EC,16
brasileirao_title,2025-05-24,Flamengo,284
brasileirao_title,2025-05-24,RB Bragantino,28
brasileirao_title,2025-05-24,Fluminense,32
brasileirao_title,2025-05-24,Botafogo,43
brasileirao_title,2025-05-24,Cruzeiro,63
brasileirao_title,2025-05-24,Internacional,4
brasileirao_title,2025-05-24,Ceara,2
brasileirao_title,2025-05-24,Corinthians,4
brasileirao_title,2025-05-24,Atletico-MG,4
brasileirao_title,2025-05-24,Bahia,2
brasileirao_title,2025-05-24,Vitoria,2
brasileirao_title,2025-05-24,Sao Paulo,1
brasileirao_title,2025-05-24,Vasco DA Gama,1
brasileirao_relegation,2025-05-24,Mirassol,136
brasileirao_relegation,2025-05-24,Sao Paulo,193
brasileirao_relegation,2025-05-24,Santos,636
brasileirao_relegation,2025-05-24,Sport Recife,794
brasileirao_relegation,2025-05-24,Vitoria,221
brasileirao_relegation,2025-05-24,Gremio,330
brasileirao_relegation,2025-05-24,Internacional,91
brasileirao_relegation,2025-05-24,Atletico-MG,138
brasileirao_relegation,2025-05-24,Juventude,600
brasileirao_relegation,2025-05-24,RB Bragantino,20
brasileirao_relegation,2025-05-24,Vasco DA Gama,133
brasileirao_relegation,2025-05-24,Corinthians,53
brasileirao_relegation,2025-05-24,Ceara,124
brasileirao_relegation,2025-05-24,Bahia,79
brasileirao_relegation,2025-05-24,Fortaleza EC,27
brasileirao_relegation,2025-05-24,Fluminense,16
brasileirao_relegation,2025-05-24,Cruzeiro,8
brasileirao_relegation,2025-05-24,Botafogo,1
brasileirao_title,2025-05-25,Flamengo,398
brasileirao_title,2025-05-25,Palmeiras,253
brasileirao_title,2025-05-25,Cruzeiro,128
brasileirao_title,2025-05-25,RB Bragantino,26
brasileirao_title,2025-05-25,Fluminense,17
brasileirao_title,2025-05-25,Botafogo,51
brasileirao_title,2025-05-25,Mirassol,4
brasileirao_title,2025-05-25,Corinthians,8
brasileirao_title,2025-05-25,Internacional,6
brasileirao_title,2025-05-25,Vasco DA Gama,2
brasileirao_title,2025-05-25,Bahia,3
brasileirao_title,2025-05-25,Atletico-MG,1
brasileirao_title,2025-05-25,Ceara,3
brasileirao_relegation,2025-05-25,Sport Recife,804
brasileirao_relegation,2025-05-25,Atletico-MG,124
brasileirao_relegation,2025-05-25,Ceara,128
brasileirao_relegation,2025-05-25,Vitoria,356
brasileirao_relegation,2025-05-25,Sao Paulo,188
brasileirao_relegation,2025-05-25,Vasco DA Gama,148
brasileirao_relegation,2025-05-25,Gremio,280
brasileirao_relegation,2025-05-25,Mirassol,101
brasileirao_relegation,2025-05-25,Santos,497
brasileirao_relegation,2025-05-25,Juventude,606
brasileirao_relegation,2025-05-25,Cruzeiro,2
brasileirao_relegation,2025-05-25,Fortaleza EC,130
brasileirao_relegation,2025-05-25,Internacional,63
brasileirao_relegation,2025-05-25,Corinthians,53
brasileirao_relegation,2025-05-25,Bahia,79
brasileirao_relegation,2025-05-25,RB Bragantino,18
brasileirao_relegation,2025-05-25,Fluminense,15
brasileirao_relegation,2025-05-25,Botafogo,7
brasileirao_relegation,2025-05-25,Palmeiras,1
brasileirao_title,2025-05-26,Cruzeiro,110
brasileirao_title,2025-05-26,Palmeiras,262
brasileirao_title,2025-05-26,Sao Paulo,2
brasileirao_title,2025-05-26,RB Bragantino,42
brasileirao_title,2025-05-26,Flamengo,397
brasileirao_title,2025-05-26,Fluminense,18
brasileirao_title,2025-05-26,Internacional,4
brasileirao_title,2025-05-26,Ceara,2
brasileirao_title,2025-05-26,Botafogo,41
brasileirao_title,2025-05-26,Mirassol,4
brasileirao_title,2025-05-26,Atletico-MG,2
brasileirao_title,2025-05-26,Corinthians,8
brasileirao_title,2025-05-26,Bahia,2
brasileirao_title,2025-05-26,Fortaleza EC,6
brasileirao_relegation,2025-05-26,Gremio,257
brasileirao_relegation,2025-05-26,Juventude,631
brasileirao_relegation,2025-05-26,Sport Recife,811
brasileirao_relegation,2025-05-26,Vitoria,342
brasileirao_relegation,2025-05-26,Fortaleza EC,132
brasileirao_relegation,2025-05-26,Mirassol,103
brasileirao_relegation,2025-05-26,Corinthians,46
brasileirao_relegation,2025-05-26,Ceara,122
brasileirao_relegation,2025-05-26,Santos,502
brasileirao_relegation,2025-05-26,Internacional,79
brasileirao_relegation,2025-05-26,Sao Paulo,174
brasileirao_relegation,2025-05-26,Vasco DA Gama,149
brasileirao_relegation,2025-05-26,Bahia,89
brasileirao_relegation,2025-05-26,Atletico-MG,128
brasileirao_relegation,2025-05-26,Fluminense,20
brasileirao_relegation,2025-05-26,RB Bragantino,8
brasileirao_relegation,2025-05-26,Botafogo,7
brasileirao_title,2025-05-31,Palmeiras,240
brasileirao_title,2025-05-31,Flamengo,386
brasileirao_title,2025-05-31,RB Bragantino,83
brasileirao_title,2025-05-31,Cruzeiro,101
brasileirao_title,2025-05-31,Fluminense,14
brasileirao_title,2025-05-31,Corinthians,7
brasileirao_title,2025-05-31,Ceara,5
brasileirao_title,2025-05-31,Atletico-MG,4
brasileirao_title,2025-05-31,Botafogo,43
